ROI	Mean	StdDev
Left-Cerebral-White-Matter	2.81194	0.41678
Left-Cerebellum-White-Matter	2.83664	0.37902
Left-Cerebellum-Cortex	2.33470	0.35144
Left-Thalamus	3.25453	0.45333
Left-Caudate	2.49594	0.43406
Left-Putamen	3.05664	0.42943
Left-Pallidum	3.39895	0.55063
Brain-Stem	2.76726	0.39533
Left-Hippocampus	4.74635	0.75349
Left-Amygdala	2.35306	0.42923
CSF	0.74852	0.63024
Left-Accumbens-area	2.79001	0.48228
Left-VentralDC	3.11428	0.46956
Left-choroid-plexus	10.34804	4.55742
Right-Cerebral-White-Matter	2.74836	0.42392
Right-Cerebellum-White-Matter	2.83323	0.36217
Right-Cerebellum-Cortex	2.33654	0.33203
Right-Thalamus	3.22258	0.45284
Right-Caudate	2.36028	0.44330
Right-Putamen	2.99721	0.43752
Right-Pallidum	3.28252	0.51855
Right-Hippocampus	4.59242	0.83850
Right-Amygdala	2.21074	0.34021
Right-Accumbens-area	2.59250	0.29827
Right-VentralDC	3.13286	0.39675
Right-choroid-plexus	9.52331	3.27719
AirCavity	0.92900	0.41098
Skull	2.98836	1.46503
Vermis	2.33829	0.26951
Pons	3.23519	0.54618
CSF-ExtraCerebral	1.35153	0.39591
Head-ExtraCerebral	3.68080	1.09839
ctx-lh-bankssts	3.04039	0.46311
ctx-lh-caudalanteriorcingulate	3.03135	0.54388
ctx-lh-caudalmiddlefrontal	2.72279	0.44725
ctx-lh-cuneus	5.33898	1.22364
ctx-lh-entorhinal	2.58591	0.38554
ctx-lh-fusiform	2.72588	0.45477
ctx-lh-inferiorparietal	2.80623	0.45330
ctx-lh-inferiortemporal	2.61224	0.42691
ctx-lh-isthmuscingulate	2.48376	0.33921
ctx-lh-lateraloccipital	3.95972	0.61302
ctx-lh-lateralorbitofrontal	2.85597	0.48059
ctx-lh-lingual	4.44597	0.72955
ctx-lh-medialorbitofrontal	2.98820	0.48069
ctx-lh-middletemporal	2.46178	0.38359
ctx-lh-parahippocampal	2.14780	0.65319
ctx-lh-paracentral	2.89066	0.64284
ctx-lh-parsopercularis	2.72392	0.34335
ctx-lh-parsorbitalis	3.26203	0.57232
ctx-lh-parstriangularis	3.15976	0.44298
ctx-lh-pericalcarine	6.64626	1.08598
ctx-lh-postcentral	3.31894	0.58074
ctx-lh-posteriorcingulate	2.77982	0.47226
ctx-lh-precentral	2.97146	0.49919
ctx-lh-precuneus	2.78671	0.49672
ctx-lh-rostralanteriorcingulate	2.94763	0.54051
ctx-lh-rostralmiddlefrontal	2.99352	0.42486
ctx-lh-superiorfrontal	2.60674	0.44143
ctx-lh-superiorparietal	3.20242	0.56268
ctx-lh-superiortemporal	2.64659	0.36004
ctx-lh-supramarginal	2.77643	0.36985
ctx-lh-frontalpole	3.02343	0.80890
ctx-lh-temporalpole	2.91968	0.37969
ctx-lh-transversetemporal	4.46245	0.76948
ctx-lh-insula	2.81055	0.42724
ctx-rh-bankssts	3.05432	0.45160
ctx-rh-caudalanteriorcingulate	3.04024	0.45383
ctx-rh-caudalmiddlefrontal	2.66088	0.39180
ctx-rh-cuneus	5.19930	0.91354
ctx-rh-entorhinal	2.23703	0.44305
ctx-rh-fusiform	2.64321	0.39841
ctx-rh-inferiorparietal	2.98370	0.40839
ctx-rh-inferiortemporal	2.55477	0.43152
ctx-rh-isthmuscingulate	2.57428	0.41539
ctx-rh-lateraloccipital	4.36723	0.68339
ctx-rh-lateralorbitofrontal	2.94407	0.50497
ctx-rh-lingual	4.27577	0.61583
ctx-rh-medialorbitofrontal	2.95093	0.44689
ctx-rh-middletemporal	2.53413	0.41338
ctx-rh-parahippocampal	2.13981	0.78307
ctx-rh-paracentral	2.89902	0.64958
ctx-rh-parsopercularis	2.64701	0.44602
ctx-rh-parsorbitalis	3.13685	0.42211
ctx-rh-parstriangularis	3.14798	0.44235
ctx-rh-pericalcarine	6.60760	1.28056
ctx-rh-postcentral	3.54065	0.56995
ctx-rh-posteriorcingulate	2.80572	0.44909
ctx-rh-precentral	2.80741	0.50847
ctx-rh-precuneus	2.78477	0.49770
ctx-rh-rostralanteriorcingulate	2.96159	0.50466
ctx-rh-rostralmiddlefrontal	3.08198	0.43937
ctx-rh-superiorfrontal	2.59757	0.41800
ctx-rh-superiorparietal	3.23896	0.54132
ctx-rh-superiortemporal	2.61085	0.33460
ctx-rh-supramarginal	2.76091	0.39481
ctx-rh-frontalpole	3.11227	0.73868
ctx-rh-temporalpole	2.66115	0.56849
ctx-rh-transversetemporal	4.35455	0.79639
ctx-rh-insula	2.63374	0.43953
